Close,StockExchange,Ticker,Time
33.7,hose,ACB,05/01/2022
37.15,hose,APH,05/01/2022
24.6,hose,ASM,05/01/2022
66,hose,BCM,05/01/2022
61.5,hose,BHN,05/01/2022
37.05,hose,BID,05/01/2022
58.9,hose,BMP,05/01/2022
56.6,hose,BVH,05/01/2022
43,hose,BWE,05/01/2022
53,hose,CII,05/01/2022
106,hose,CTD,05/01/2022
34.75,hose,CTG,05/01/2022
74.5,hose,DBC,05/01/2022
37.2,hose,DCM,05/01/2022
156.7,hose,DGC,05/01/2022
125,hose,DGW,05/01/2022
87.6,hose,DHC,05/01/2022
115,hose,DHG,05/01/2022
110.6,hose,DIG,05/01/2022
50,hose,DPM,05/01/2022
35.6,hose,DXG,05/01/2022
34.3,hose,EIB,05/01/2022
20,hose,FLC,05/01/2022
93.6,hose,FPT,05/01/2022
105,hose,GAS,05/01/2022
25.6,hose,GEG,05/01/2022
43.45,hose,GEX,05/01/2022
47.6,hose,GMD,05/01/2022
20.1,hose,GTN,05/01/2022
38.4,hose,GVR,05/01/2022
13.9,hose,HAG,05/01/2022
32.9,hose,HBC,05/01/2022
45.8,hose,HCM,05/01/2022
30.5,hose,HDB,05/01/2022
67,hose,HDG,05/01/2022
11.65,hose,HHS,05/01/2022
13.3,hose,HNG,05/01/2022
46.8,hose,HPG,05/01/2022
33.9,hose,HPX,05/01/2022
9.27,hose,HQC,05/01/2022
37,hose,HSG,05/01/2022
24,hose,HT1,05/01/2022
23.1,hose,HVN,05/01/2022
32.85,hose,IJC,05/01/2022
76.3,hose,IMP,05/01/2022
17.35,hose,ITA,05/01/2022
60.5,hose,KBC,05/01/2022
53.9,hose,KDC,05/01/2022
55.7,hose,KDH,05/01/2022
32.6,hose,KOS,05/01/2022
22.2,hose,LPB,05/01/2022
28.7,hose,MBB,05/01/2022
27.7,hose,MSB,05/01/2022
161,hose,MSN,05/01/2022
137.1,hose,MWG,05/01/2022
65,hose,NLG,05/01/2022
26.55,hose,NT2,05/01/2022
89.1,hose,NVL,05/01/2022
27.5,hose,OCB,05/01/2022
40.5,hose,PAN,05/01/2022
41,hose,PC1,05/01/2022
93.8,hose,PDR,05/01/2022
73,hose,PHR,05/01/2022
55.7,hose,PLX,05/01/2022
95.1,hose,PNJ,05/01/2022
14.5,hose,POM,05/01/2022
19,hose,POW,05/01/2022
24.5,hose,PPC,05/01/2022
17,hose,PTL,05/01/2022
31.05,hose,PVD,05/01/2022
24.9,hose,PVT,05/01/2022
71,hose,REE,05/01/2022
159.3,hose,SAB,05/01/2022
25.85,hose,SAM,05/01/2022
26.2,hose,SBT,05/01/2022
151,hose,SCS,05/01/2022
79.9,hose,SJS,05/01/2022
52.8,hose,SSI,05/01/2022
32.55,hose,STB,05/01/2022
72.4,hose,SZC,05/01/2022
50.5,hose,TCB,05/01/2022
28.3,hose,TCH,05/01/2022
65.9,hose,TCM,05/01/2022
16.6,hose,TNA,05/01/2022
42,hose,TPB,05/01/2022
78,hose,VCB,05/01/2022
56,hose,VCG,05/01/2022
73.6,hose,VCI,05/01/2022
56,hose,VGC,05/01/2022
67.3,hose,VHC,05/01/2022
84,hose,VHM,05/01/2022
47.45,hose,VIB,05/01/2022
100,hose,VIC,05/01/2022
33.2,hose,VIX,05/01/2022
123,hose,VJC,05/01/2022
82.1,hose,VND,05/01/2022
86.2,hose,VNM,05/01/2022
35.5,hose,VPB,05/01/2022
57.8,hose,VPI,05/01/2022
33.3,hose,VRE,05/01/2022
9.2,hnx,HHG,05/01/2022
10.4,hnx,NST,05/01/2022
19,hnx,MST,05/01/2022
52.2,hnx,SHS,05/01/2022
26.7,hnx,PHP,05/01/2022
33,hnx,PSD,05/01/2022
11.5,hnx,VHE,05/01/2022
11.3,hnx,SPI,05/01/2022
18,hnx,WSS,05/01/2022
19.7,hnx,LIG,05/01/2022
13.9,hnx,THT,05/01/2022
45.9,hnx,VGS,05/01/2022
37,hnx,APS,05/01/2022
9.1,hnx,FID,05/01/2022
17.5,hnx,VIG,05/01/2022
34.2,hnx,TNG,05/01/2022
9.9,hnx,ITQ,05/01/2022
28.2,hnx,NRC,05/01/2022
20.4,hnx,LAS,05/01/2022
11.9,hnx,SRA,05/01/2022
12.4,hnx,SD5,05/01/2022
40.5,hnx,EVS,05/01/2022
11.3,hnx,OCH,05/01/2022
9.1,hnx,KSQ,05/01/2022
22.8,hnx,BAB,05/01/2022
49,hnx,PVI,05/01/2022
10.9,hnx,MAC,05/01/2022
17.9,hnx,IVS,05/01/2022
19.5,hnx,PSI,05/01/2022
10.8,hnx,NDX,05/01/2022
20.6,hnx,HUT,05/01/2022
8.3,hnx,MCO,05/01/2022
37,hnx,SCI,05/01/2022
10.2,hnx,PCG,05/01/2022
117.7,hnx,VCS,05/01/2022
264.7,hnx,THD,05/01/2022
12.5,hnx,VKC,05/01/2022
16.7,hnx,PVC,05/01/2022
14.2,hnx,VC9,05/01/2022
13.6,hnx,TA9,05/01/2022
11.9,hnx,X20,05/01/2022
44,hnx,TAR,05/01/2022
9.2,hnx,VTV,05/01/2022
14.4,hnx,SD9,05/01/2022
24.1,hnx,BCC,05/01/2022
71,hnx,API,05/01/2022
66,hnx,VC2,05/01/2022
24.6,hnx,AAV,05/01/2022
13.2,hnx,NSH,05/01/2022
50.1,hnx,DTD,05/01/2022
8.6,hnx,KLF,05/01/2022
13.7,hnx,TVD,05/01/2022
15.8,hnx,HBS,05/01/2022
17.5,hnx,NBC,05/01/2022
13,hnx,DST,05/01/2022
16.1,hnx,MBG,05/01/2022
23.2,hnx,S99,05/01/2022
41,hnx,MBS,05/01/2022
44.7,hnx,PLC,05/01/2022
30.7,hnx,DDG,05/01/2022
8.7,hnx,SD6,05/01/2022
85.6,hnx,CEO,05/01/2022
9.3,hnx,HOM,05/01/2022
11.7,hnx,BTS,05/01/2022
9.4,hnx,CTC,05/01/2022
34.3,hnx,CMS,05/01/2022
14.7,hnx,DL1,05/01/2022
14.5,hnx,NAG,05/01/2022
12.2,hnx,CVN,05/01/2022
25.1,hnx,VC7,05/01/2022
25.1,hnx,DVG,05/01/2022
22.3,hnx,DXP,05/01/2022
48,hnx,IDJ,05/01/2022
73,hnx,IDC,05/01/2022
19,hnx,NDN,05/01/2022
36.3,hnx,NVB,05/01/2022
16.7,hnx,ART,05/01/2022
8,hnx,KVC,05/01/2022
27.3,hnx,SDA,05/01/2022
9.5,hnx,PV2,05/01/2022
8.3,hnx,SVN,05/01/2022
60.3,hnx,NTP,05/01/2022
8.1,hnx,TTH,05/01/2022
58.3,hnx,VC3,05/01/2022
28.2,hnx,PVS,05/01/2022
12.3,hnx,TC6,05/01/2022
26.7,hnx,TIG,05/01/2022
14.6,hnx,PBP,05/01/2022
50.6,hnx,GKM,05/01/2022
40.7,hnx,BVS,05/01/2022
14.4,hnx,PVG,05/01/2022
17.8,hnx,PVL,05/01/2022
14.5,hnx,TDT,05/01/2022
24,hnx,TVC,05/01/2022
14.5,hnx,AMV,05/01/2022
17.7,hnx,C69,05/01/2022
79.6,hnx,KSF,05/01/2022
125.5,hnx,CSC,05/01/2022
39.9,hnx,BNA,05/01/2022
13.6,hnx,BII,05/01/2022
43.7,upcom,VEA,05/01/2022
22.2,upcom,TL4,05/01/2022
7.8,upcom,VE9,05/01/2022
7.2,upcom,SDP,05/01/2022
26.3,upcom,HU4,05/01/2022
18.4,upcom,SGB,05/01/2022
43.2,upcom,HMS,05/01/2022
18,upcom,ANT,05/01/2022
22.7,upcom,PAS,05/01/2022
15.7,upcom,AFX,05/01/2022
15.8,upcom,AMS,05/01/2022
9.4,upcom,LMH,05/01/2022
7.2,upcom,BTN,05/01/2022
8,upcom,BVG,05/01/2022
25.7,upcom,VNP,05/01/2022
28.1,upcom,VGT,05/01/2022
7.3,upcom,VNH,05/01/2022
22.9,upcom,VNB,05/01/2022
32.7,upcom,VNA,05/01/2022
33.2,upcom,VGI,05/01/2022
16.3,upcom,PFL,05/01/2022
11.3,upcom,STH,05/01/2022
10.3,upcom,TNS,05/01/2022
16.8,upcom,VFS,05/01/2022
36.3,upcom,LTG,05/01/2022
13.1,upcom,MVC,05/01/2022
18.8,upcom,VBB,05/01/2022
16.3,upcom,HAC,05/01/2022
19.7,upcom,NAB,05/01/2022
27.5,upcom,MSR,05/01/2022
24.1,upcom,BMS,05/01/2022
26.1,upcom,DNW,05/01/2022
40.2,upcom,DGT,05/01/2022
25.5,upcom,DFF,05/01/2022
9.9,upcom,VHG,05/01/2022
5.1,upcom,KSH,05/01/2022
10.1,upcom,VLG,05/01/2022
16.4,upcom,XMC,05/01/2022
47.8,upcom,QNS,05/01/2022
