Closed,StockExchange,Ticker,Time
27.3,upcom,AAS,2021-12-19T00:00:00.000Z
24.5,hnx,AAV,2021-12-19T00:00:00.000Z
20.7,upcom,ABB,2021-12-19T00:00:00.000Z
33.2,hose,ACB,2021-12-19T00:00:00.000Z
15.1,upcom,AFX,2021-12-19T00:00:00.000Z
16.5,upcom,AMS,2021-12-19T00:00:00.000Z
14.6,hnx,AMV,2021-12-19T00:00:00.000Z
19.8,upcom,ANT,2021-12-19T00:00:00.000Z
61.3,upcom,APF,2021-12-19T00:00:00.000Z
34.65,hose,APH,2021-12-19T00:00:00.000Z
78.9,hnx,API,2021-12-19T00:00:00.000Z
39,hnx,APS,2021-12-19T00:00:00.000Z
15.1,hnx,ART,2021-12-19T00:00:00.000Z
21.3,hose,ASM,2021-12-19T00:00:00.000Z
22.4,hnx,BAB,2021-12-19T00:00:00.000Z
11.7,upcom,BCA,2021-12-19T00:00:00.000Z
25.8,hnx,BCC,2021-12-19T00:00:00.000Z
67.9,hose,BCM,2021-12-19T00:00:00.000Z
60.5,hose,BHN,2021-12-19T00:00:00.000Z
44.9,hose,BID,2021-12-19T00:00:00.000Z
13.8,hnx,BII,2021-12-19T00:00:00.000Z
60.5,hose,BMP,2021-12-19T00:00:00.000Z
23.3,upcom,BMS,2021-12-19T00:00:00.000Z
43.6,hnx,BNA,2021-12-19T00:00:00.000Z
14.6,upcom,BOT,2021-12-19T00:00:00.000Z
22.5,upcom,BSR,2021-12-19T00:00:00.000Z
6.7,upcom,BTN,2021-12-19T00:00:00.000Z
12,hnx,BTS,2021-12-19T00:00:00.000Z
22.7,upcom,BVB,2021-12-19T00:00:00.000Z
7,upcom,BVG,2021-12-19T00:00:00.000Z
57.6,hose,BVH,2021-12-19T00:00:00.000Z
38.8,hnx,BVS,2021-12-19T00:00:00.000Z
45.5,hose,BWE,2021-12-19T00:00:00.000Z
23.9,upcom,C4G,2021-12-19T00:00:00.000Z
19,hnx,C69,2021-12-19T00:00:00.000Z
28,upcom,CBI,2021-12-19T00:00:00.000Z
7.8,upcom,CDO,2021-12-19T00:00:00.000Z
19.1,upcom,CEN,2021-12-19T00:00:00.000Z
53,hnx,CEO,2021-12-19T00:00:00.000Z
36,hose,CII,2021-12-19T00:00:00.000Z
27.6,upcom,CLX,2021-12-19T00:00:00.000Z
34.8,hnx,CMS,2021-12-19T00:00:00.000Z
130,hnx,CSC,2021-12-19T00:00:00.000Z
16.7,upcom,CST,2021-12-19T00:00:00.000Z
8.2,hnx,CTC,2021-12-19T00:00:00.000Z
91.3,hose,CTD,2021-12-19T00:00:00.000Z
32.95,hose,CTG,2021-12-19T00:00:00.000Z
82.4,upcom,CTR,2021-12-19T00:00:00.000Z
11.9,hnx,CVN,2021-12-19T00:00:00.000Z
75.5,hose,DBC,2021-12-19T00:00:00.000Z
37.9,hose,DCM,2021-12-19T00:00:00.000Z
30.7,hnx,DDG,2021-12-19T00:00:00.000Z
27.8,upcom,DDV,2021-12-19T00:00:00.000Z
25.1,upcom,DFF,2021-12-19T00:00:00.000Z
172.5,hose,DGC,2021-12-19T00:00:00.000Z
36.9,upcom,DGT,2021-12-19T00:00:00.000Z
124.9,hose,DGW,2021-12-19T00:00:00.000Z
85.3,hose,DHC,2021-12-19T00:00:00.000Z
123.6,hose,DHG,2021-12-19T00:00:00.000Z
91,hose,DIG,2021-12-19T00:00:00.000Z
15,hnx,DL1,2021-12-19T00:00:00.000Z
49.9,hose,DPM,2021-12-19T00:00:00.000Z
16.7,upcom,DRI,2021-12-19T00:00:00.000Z
10,hnx,DST,2021-12-19T00:00:00.000Z
11.9,hnx,DTC,2021-12-19T00:00:00.000Z
51.5,hnx,DTD,2021-12-19T00:00:00.000Z
23.1,hnx,DVG,2021-12-19T00:00:00.000Z
26,upcom,DVN,2021-12-19T00:00:00.000Z
36.2,hose,DXG,2021-12-19T00:00:00.000Z
22.2,hnx,DXP,2021-12-19T00:00:00.000Z
26,hose,EIB,2021-12-19T00:00:00.000Z
16.7,upcom,EIN,2021-12-19T00:00:00.000Z
19.5,upcom,EVF,2021-12-19T00:00:00.000Z
41.2,hnx,EVS,2021-12-19T00:00:00.000Z
8.7,hnx,FID,2021-12-19T00:00:00.000Z
17,hose,FLC,2021-12-19T00:00:00.000Z
96.4,hose,FPT,2021-12-19T00:00:00.000Z
23.1,upcom,G36,2021-12-19T00:00:00.000Z
99,hose,GAS,2021-12-19T00:00:00.000Z
19.55,hose,GEG,2021-12-19T00:00:00.000Z
40.95,hose,GEX,2021-12-19T00:00:00.000Z
35.7,hnx,GKM,2021-12-19T00:00:00.000Z
49.3,hose,GMD,2021-12-19T00:00:00.000Z
20.75,hose,GTN,2021-12-19T00:00:00.000Z
38.25,hose,GVR,2021-12-19T00:00:00.000Z
17,upcom,HAC,2021-12-19T00:00:00.000Z
12.15,hose,HAG,2021-12-19T00:00:00.000Z
26.5,hose,HBC,2021-12-19T00:00:00.000Z
16.3,hnx,HBS,2021-12-19T00:00:00.000Z
46.15,hose,HCM,2021-12-19T00:00:00.000Z
39.7,upcom,HD6,2021-12-19T00:00:00.000Z
29.5,hose,HDB,2021-12-19T00:00:00.000Z
76,hose,HDG,2021-12-19T00:00:00.000Z
8.4,hnx,HHG,2021-12-19T00:00:00.000Z
12.65,hose,HHS,2021-12-19T00:00:00.000Z
26.1,upcom,HHV,2021-12-19T00:00:00.000Z
41,upcom,HMS,2021-12-19T00:00:00.000Z
10.4,hose,HNG,2021-12-19T00:00:00.000Z
9.6,hnx,HOM,2021-12-19T00:00:00.000Z
46.7,hose,HPG,2021-12-19T00:00:00.000Z
35.8,hose,HPX,2021-12-19T00:00:00.000Z
8,hose,HQC,2021-12-19T00:00:00.000Z
36.1,hose,HSG,2021-12-19T00:00:00.000Z
15.5,upcom,HSV,2021-12-19T00:00:00.000Z
23.7,hose,HT1,2021-12-19T00:00:00.000Z
8.2,upcom,HTE,2021-12-19T00:00:00.000Z
27.9,upcom,HU4,2021-12-19T00:00:00.000Z
19.1,hnx,HUT,2021-12-19T00:00:00.000Z
23.45,hose,HVN,2021-12-19T00:00:00.000Z
86.8,hnx,IDC,2021-12-19T00:00:00.000Z
51,hnx,IDJ,2021-12-19T00:00:00.000Z
32.65,hose,IJC,2021-12-19T00:00:00.000Z
12.9,upcom,ILA,2021-12-19T00:00:00.000Z
77.7,hose,IMP,2021-12-19T00:00:00.000Z
66.9,hnx,IPA,2021-12-19T00:00:00.000Z
16.55,hose,ITA,2021-12-19T00:00:00.000Z
10.3,hnx,ITQ,2021-12-19T00:00:00.000Z
18.9,hnx,IVS,2021-12-19T00:00:00.000Z
57,hose,KBC,2021-12-19T00:00:00.000Z
55.5,hose,KDC,2021-12-19T00:00:00.000Z
50.4,hose,KDH,2021-12-19T00:00:00.000Z
8,upcom,KHB,2021-12-19T00:00:00.000Z
23.6,upcom,KLB,2021-12-19T00:00:00.000Z
8.3,hnx,KLF,2021-12-19T00:00:00.000Z
31.75,hose,KOS,2021-12-19T00:00:00.000Z
72.8,hnx,KSF,2021-12-19T00:00:00.000Z
5.1,upcom,KSH,2021-12-19T00:00:00.000Z
9.1,hnx,KSQ,2021-12-19T00:00:00.000Z
7.8,hnx,KVC,2021-12-19T00:00:00.000Z
26.3,hnx,LAS,2021-12-19T00:00:00.000Z
17,hnx,LIG,2021-12-19T00:00:00.000Z
9.3,upcom,LMH,2021-12-19T00:00:00.000Z
21.8,hose,LPB,2021-12-19T00:00:00.000Z
14.6,upcom,LPT,2021-12-19T00:00:00.000Z
37.4,upcom,LTG,2021-12-19T00:00:00.000Z
9.5,hnx,MAC,2021-12-19T00:00:00.000Z
28.2,hose,MBB,2021-12-19T00:00:00.000Z
16.3,hnx,MBG,2021-12-19T00:00:00.000Z
40,hnx,MBS,2021-12-19T00:00:00.000Z
8.7,hnx,MCO,2021-12-19T00:00:00.000Z
36.7,upcom,MLS,2021-12-19T00:00:00.000Z
42.8,upcom,MPC,2021-12-19T00:00:00.000Z
26.15,hose,MSB,2021-12-19T00:00:00.000Z
157.5,hose,MSN,2021-12-19T00:00:00.000Z
27.7,upcom,MSR,2021-12-19T00:00:00.000Z
19,hnx,MST,2021-12-19T00:00:00.000Z
13.2,upcom,MVC,2021-12-19T00:00:00.000Z
134.5,hose,MWG,2021-12-19T00:00:00.000Z
19.6,upcom,NAB,2021-12-19T00:00:00.000Z
13.6,hnx,NAG,2021-12-19T00:00:00.000Z
17,hnx,NBC,2021-12-19T00:00:00.000Z
19.6,hnx,NDN,2021-12-19T00:00:00.000Z
31,upcom,NDT,2021-12-19T00:00:00.000Z
11.3,hnx,NDX,2021-12-19T00:00:00.000Z
12.6,upcom,NED,2021-12-19T00:00:00.000Z
64.8,hose,NLG,2021-12-19T00:00:00.000Z
30.2,hnx,NRC,2021-12-19T00:00:00.000Z
13.8,hnx,NSH,2021-12-19T00:00:00.000Z
25.9,hose,NT2,2021-12-19T00:00:00.000Z
60,hnx,NTP,2021-12-19T00:00:00.000Z
28.6,hnx,NVB,2021-12-19T00:00:00.000Z
115.2,hose,NVL,2021-12-19T00:00:00.000Z
26.8,hose,OCB,2021-12-19T00:00:00.000Z
10,hnx,OCH,2021-12-19T00:00:00.000Z
17,upcom,OIL,2021-12-19T00:00:00.000Z
37.7,hose,PAN,2021-12-19T00:00:00.000Z
24.4,upcom,PAS,2021-12-19T00:00:00.000Z
40.2,hose,PC1,2021-12-19T00:00:00.000Z
10.2,hnx,PCG,2021-12-19T00:00:00.000Z
95.5,hose,PDR,2021-12-19T00:00:00.000Z
8.1,upcom,PFL,2021-12-19T00:00:00.000Z
32.8,upcom,PGB,2021-12-19T00:00:00.000Z
38,upcom,PGV,2021-12-19T00:00:00.000Z
28.8,hnx,PHP,2021-12-19T00:00:00.000Z
73,hose,PHR,2021-12-19T00:00:00.000Z
41.5,hnx,PLC,2021-12-19T00:00:00.000Z
54.3,hose,PLX,2021-12-19T00:00:00.000Z
95.5,hose,PNJ,2021-12-19T00:00:00.000Z
14.85,hose,POM,2021-12-19T00:00:00.000Z
17.1,hose,POW,2021-12-19T00:00:00.000Z
23.7,hose,PPC,2021-12-19T00:00:00.000Z
31.1,upcom,PRT,2021-12-19T00:00:00.000Z
32,hnx,PSD,2021-12-19T00:00:00.000Z
19,hnx,PSI,2021-12-19T00:00:00.000Z
16.5,hose,PTL,2021-12-19T00:00:00.000Z
9.1,hnx,PV2,2021-12-19T00:00:00.000Z
14.9,hnx,PVC,2021-12-19T00:00:00.000Z
27.8,hose,PVD,2021-12-19T00:00:00.000Z
14.3,hnx,PVG,2021-12-19T00:00:00.000Z
51,hnx,PVI,2021-12-19T00:00:00.000Z
15.2,hnx,PVL,2021-12-19T00:00:00.000Z
24.4,upcom,PVM,2021-12-19T00:00:00.000Z
19.1,upcom,PVP,2021-12-19T00:00:00.000Z
26,hnx,PVS,2021-12-19T00:00:00.000Z
24,hose,PVT,2021-12-19T00:00:00.000Z
6.9,upcom,PXT,2021-12-19T00:00:00.000Z
49,upcom,QNS,2021-12-19T00:00:00.000Z
17.1,upcom,QTP,2021-12-19T00:00:00.000Z
67.6,hose,REE,2021-12-19T00:00:00.000Z
23.9,hnx,S99,2021-12-19T00:00:00.000Z
150,hose,SAB,2021-12-19T00:00:00.000Z
21.6,hose,SAM,2021-12-19T00:00:00.000Z
17.7,upcom,SBS,2021-12-19T00:00:00.000Z
24.1,hose,SBT,2021-12-19T00:00:00.000Z
81.4,hnx,SCG,2021-12-19T00:00:00.000Z
40.3,hnx,SCI,2021-12-19T00:00:00.000Z
156,hose,SCS,2021-12-19T00:00:00.000Z
8.1,upcom,SD3,2021-12-19T00:00:00.000Z
12.5,hnx,SD5,2021-12-19T00:00:00.000Z
8,hnx,SD6,2021-12-19T00:00:00.000Z
8.2,upcom,SD7,2021-12-19T00:00:00.000Z
13.4,hnx,SD9,2021-12-19T00:00:00.000Z
39.1,hnx,SDA,2021-12-19T00:00:00.000Z
7.8,upcom,SDD,2021-12-19T00:00:00.000Z
6.8,upcom,SDP,2021-12-19T00:00:00.000Z
18,upcom,SGB,2021-12-19T00:00:00.000Z
28.6,upcom,SGI,2021-12-19T00:00:00.000Z
36.4,upcom,SGP,2021-12-19T00:00:00.000Z
51,hnx,SHS,2021-12-19T00:00:00.000Z
78.7,hose,SJS,2021-12-19T00:00:00.000Z
25.9,upcom,SKH,2021-12-19T00:00:00.000Z
